Model,N_estimators,Learning_rate,Score,R2_Score,CVS,MSE,MAE,RMSE
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,20,0.1,0.728977035032266,0.7310554118292609,0.7249529118502366,5.115738227403894,1.5577788456134316,2.2617997761525874
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,20,0.2,0.7310554118292609,0.7345412380374936,0.7273185288591939,5.049432470858158,1.515680811850329,2.2470942282997743
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,20,0.3,0.7284604030143473,0.6988331782347071,0.6941366088622909,5.7286544912825645,1.703117283178851,2.393460777051206
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,20,0.4,0.7345412380374936,0.7284604030143473,0.7265309350635659,5.165099271941723,1.5196071213682323,2.272685475806479
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,20,0.5,0.7380241356361863,0.7245906061865115,0.6989127733452292,5.238708738111303,1.545937854080209,2.288822565886509
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,20,0.6,0.7373571542843258,0.728977035032266,0.7040215821116801,5.155272139216934,1.5409033289935932,2.270522437505724
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,20,0.7,0.6988331782347071,0.739443971490699,0.7291405601957685,4.956174967087858,1.5065780535858906,2.2262468342679025
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,20,0.8,0.7338857227579914,0.7373571542843258,0.7286435603504996,4.995869428422288,1.5199883217973325,2.235144162782859
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,20,0.9,0.7245906061865115,0.7342940945500667,0.7275302440183008,5.0541335187389995,1.5149532582155913,2.248140013152873
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,20,1.0,0.7169112913233889,0.7377871842166737,0.728476982836263,4.98768960008366,1.5171241840352698,2.23331359197128
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,21,0.1,0.7377871842166737,0.7338857227579914,0.729106487872578,4.983182420953998,1.5480084238782885,2.2323042850279164
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,21,0.2,0.7076552832405998,0.7380241356361863,0.7260952542941306,5.0619013760583185,1.510965641712994,2.2498669685246546
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,21,0.3,0.7342940945500667,0.728743584591567,0.7253237437234501,5.159712724364273,1.5139355707453361,2.2715001044165226
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,21,0.4,0.7152767785214773,0.7020703015353941,0.6976143263712858,5.667079445178158,1.6892115790076778,2.3805628420980947
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,21,0.5,0.728743584591567,0.7248005106147068,0.7135226748994759,5.384781075438303,1.5460310318950652,2.3205131060690656
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,21,0.6,0.7020703015353941,0.7152767785214773,0.7041541196945089,5.234716034206296,1.5528506361014,2.287950181757963
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,21,0.7,0.7248005106147068,0.7169112913233889,0.7119425204122369,5.41587201383864,1.5507182107177744,2.3272026155534116
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,21,0.8,0.68176217456425,0.7076552832405998,0.7002297860247225,5.560844534102222,1.542903375509472,2.3581442988295316
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,21,0.9,0.739443971490699,0.7402005002211505,0.7294561575290129,5.25932680513367,1.5744538330440088,2.2933222200845806
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,21,1.0,0.7235066731747513,0.7235066731747513,0.7097127061675461,4.941784631246473,1.5043162153789142,2.2230125126158136
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,22,0.1,0.7143633506892177,0.7376598239333942,0.729527550022752,4.9901121878526,1.5154706743923783,2.2338559013178534
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,22,0.2,0.7051197420501385,0.68176217456425,0.7072141963055427,6.0533711425864665,1.5974839232274292,2.4603599619946808
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,22,0.3,0.7359965360120759,0.6802155227950182,0.700473027965025,6.082790829497282,1.6020303294509957,2.4663314516701282
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,22,0.4,0.7376598239333942,0.7051197420501385,0.7066458951434484,5.6090744132882095,1.6755089273259092,2.368348456897382
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,22,0.5,0.7338862153452796,0.7375987357483069,0.7300391200314404,4.991274178751243,1.5135380280598114,2.2341159725384094
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,22,0.6,0.6802155227950182,0.7143633506892177,0.7138291040292819,5.433246811045931,1.5556696041195752,2.3309326054276926
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,22,0.7,0.7402005002211505,0.7338862153452796,0.7269976342283434,5.420511492546671,1.5547737834139808,2.3281991952035956
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,22,0.8,0.7347482485974776,0.7150328718485802,0.7127865923711392,5.0618920062932,1.5434980154597853,2.2498648862305486
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,22,0.9,0.7247230628065492,0.7359965360120759,0.7264831508833426,5.23618921020703,1.5480216714112474,2.2882721014352794
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,22,1.0,0.7300074275518558,0.7247230628065492,0.7038300878548425,5.021750473122222,1.5099927287260582,2.2409262533876975
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,23,0.1,0.7288706666440119,0.7300074275518558,0.7263002611584003,5.135672494407016,1.510955105336559,2.266202218339532
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,23,0.2,0.7078761091568964,0.723544625787989,0.7009890831156644,5.258604888267112,1.5419855130622386,2.2931648192546286
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,23,0.3,0.723544625787989,0.7406122450328633,0.7293840362911572,4.933952613924461,1.5030354467521074,2.221250236674036
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,23,0.4,0.7375987357483069,0.7047471470644427,0.7050549660116602,5.616161740921859,1.5749515342738003,2.3698442440215053
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,23,0.5,0.725665680944529,0.7288706666440119,0.7255092566404958,5.556644086756233,1.5117408628579223,2.3572535049833383
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,23,0.6,0.7374737106770667,0.7078761091568964,0.7274666444445922,5.157295428972196,1.6641343319061999,2.270967949789736
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,23,0.7,0.7406122450328633,0.735776075653547,0.7029738507079137,5.02594396699925,1.5357428289139576,2.2418617189735968
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,23,0.8,0.7150328718485802,0.7093407072439635,0.7272701841026856,5.52878518662832,1.6555313872713322,2.3513368934774785
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,23,0.9,0.7047471470644427,0.7347482485974776,0.7051951584439993,5.045494812761413,1.5385204398925223,2.2462178907580213
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,23,1.0,0.7248089751308135,0.724772117696416,0.7044675781909758,5.218259168650492,1.5427390514606283,2.284350929399967
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,24,0.1,0.7093407072439635,0.725665680944529,0.7032757964517365,5.235256111024631,1.5433978522321234,2.288068205063964
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,24,0.2,0.735776075653547,0.7248089751308135,0.697357607541249,5.234555026137985,1.5409299229121707,2.2879149953916524
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,24,0.3,0.740170823110924,0.7344383138668031,0.7131893784435078,5.4451461028009245,1.5524836051173696,2.333483683851448
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,24,0.4,0.720608281176041,0.7137377811275409,0.7271011501084352,5.051390246317061,1.5113918197663134,2.247529809883967
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,24,0.5,0.7344383138668031,0.7374737106770667,0.7271497252273879,4.993652347208464,1.508209772109169,2.23464814841363
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,24,0.6,0.7383290912150167,0.7383290912150167,0.7304978716928537,4.977381698497027,1.5120307081529532,2.2310046388335967
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,24,0.7,0.7303626075817832,0.7303626075817832,0.7254533271106987,5.128916425920682,1.509736298661261,2.264711113126944
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,24,0.8,0.7137377811275409,0.720608281176041,0.6953233065645321,5.314458662765213,1.552059932913173,2.3053109687773605
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,24,0.9,0.7047768143520323,0.740170823110924,0.7295089759722084,4.942349135363463,1.5032656339339432,2.2231394772626083
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,24,1.0,0.724772117696416,0.7113163335314678,0.7125760762854709,5.491205746972021,1.5561441570393348,2.3433321887799052
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,25,0.1,0.7369997908839303,0.7030697312876342,0.7042465667508438,5.648068759653994,1.574623762375956,2.376566590620594
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,25,0.2,0.741167426184215,0.7343309374375058,0.7264937224309689,5.053432710557798,1.51208378215193,2.2479841437514185
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,25,0.3,0.7297801510918718,0.7172465876996585,0.6943827640053583,5.378403224516449,1.5628767180075003,2.319138466007679
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,25,0.4,0.7119043563944201,0.7280494299869991,0.7059791703505496,5.615597423646477,1.5275791464208013,2.3697251789282396
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,25,0.5,0.738825908485259,0.7047768143520323,0.7073040956174543,5.172916608742352,1.5725846062274351,2.2744046712804544
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,25,0.6,0.7030697312876342,0.7119043563944201,0.7037159060074198,5.480020650967478,1.6443075007824606,2.3409443929678204
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,25,0.7,0.7113163335314678,0.7297801510918718,0.7243685773214473,5.139995640979463,1.5106499037429142,2.267155848409955
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,25,0.8,0.7172465876996585,0.738825908485259,0.7306024674138203,4.967931472639352,1.5104762576046038,2.228885702013307
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,25,0.9,0.7280494299869991,0.7136059503771802,0.7088993980215077,5.4476537257047895,1.6371940624804164,2.334020935147067
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,25,1.0,0.7062555787904543,0.7369997908839303,0.727545747268262,5.0026670279609595,1.5303673249773744,2.2366642635766683
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,26,0.1,0.7343309374375058,0.7411074862231869,0.7298854928983963,4.923392217604825,1.499574584345687,2.2188718344250584
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,26,0.2,0.7285989675929097,0.741167426184215,0.7308058986256085,4.924532367522198,1.4991112987133879,2.219128740637234
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,26,0.3,0.7380442190383945,0.7047347746983637,0.7053925187775094,5.616397082285465,1.5717886961415337,2.3698938968412624
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,26,0.4,0.7136059503771802,0.7380442190383945,0.7285513350581192,4.982800403865975,1.5267218504589801,2.232218717748325
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,26,0.5,0.7411074862231869,0.7156803909312548,0.6950660527414276,5.408194687264429,1.569005437066118,2.3255525552574445
